CODE,BIODIV,F_THREAT
2805,1.003971407,0.022022
2806,1.017432336,1.02803
2807,1.017432336,0.0570571
2808,1.087353249,0.0870871
2809,1.094947141,0.0720721
2810,1.097274862,0.118118
2811,1.119525928,0.112112
2812,1.105505661,1.19119
2813,1.135909112,1.38939
2814,1.182122931,1.50851
2815,1.209929503,1.65666
2816,1.385179596,1.65165
2817,1.403135772,1.62162
2818,1.403135772,0.76977
2819,1.549509758,0.584585
2820,1.541577653,0
2954,1.375780197,0
2955,1.54186986,1.02302
2956,1.188404935,0.0670671
2957,1.188404935,0.135135
2958,1.128655635,0.178178
2959,1.074348737,0.109109
2960,0.963471742,0.028028
2961,0.951578864,0.015015
2962,1.004196983,0.015015
2963,0.989773848,0.017017
2964,1.006742062,0.019019
2965,0.997327775,0.02002
2966,1.010696278,1.02503
2967,1.013899246,1.04104
2968,1.083432336,0.0590591
2969,1.083432336,0.0760761
2970,1.082921752,0.0920921
2971,1.086016591,0.0920921
2972,1.075131066,0.134134
2973,1.136153693,1.21922
2974,1.143365888,1.4995
2975,1.192632092,0.722723
2976,1.216801009,1.74474
2977,1.179311716,1.6046
2978,1.246343497,0.750751
2979,1.435724158,0.673674
2980,1.435724158,0.696697
2981,1.474119919,1
3114,1.374629428,0.013013
3115,1.295508085,1.03804
3116,1.14452755,0.15015
3117,1.082742366,0.119119
3118,1.026945505,0.0850851
3119,1.026945505,0.048048
3120,0.973087862,0.023023
3121,0.979847147,0.013013
3122,0.970059704,0.013013
3123,0.960548231,0.015015
3124,0.984443752,0.016016
3125,0.971364041,0.019019
3126,0.965213109,0.021021
3127,0.964096245,1.02402
3128,0.984606414,0.0540541
3129,0.998166893,0.0680681
3130,0.988471971,0.0970971
3131,0.988471971,0.11011
3132,1.006388529,0.153153
3133,1.020496726,0.218218
3134,1.838818133,1.41842
3135,1.118775092,1.63864
3136,1.328277738,0.74975
3137,1.364677213,0.666667
3138,1.489436043,0.734735
3139,1.427170976,0.665666
3140,1.517650708,2.77277
